Слово,TF-IDF
следственный,1.2627087572206996
полицейский,1.2623637359755078
павел,1.2606596234620389
зарплата,1.2599066208399021
посвящать,1.2578321106525254
апрель,1.256890350612783
делать,1.2563438369541229
облачно,1.2550469977239285
сад,1.2516599217311046
тпу,1.2514354809233912
половина,1.250861926428663
лесной,1.250627781358152
окно,1.2506262977484908
гу,1.2486949629140132
лето,1.248238689921845
зимний,1.243918313594461
советский,1.2427373774499895
московский,1.241738320138649
ресурс,1.2385655583630684
показатель,1.234001115222422
технический,1.2332735647308446
открываться,1.2332569701830103
инвестор,1.2328974932845105
патент,1.23210662105677
пожарный,1.2318029532027506
оказываться,1.2254982788954831
профессиональный,1.2241795459578118
двор,1.2238158545445759
отвечать,1.2216379947709537
родитель,1.2212855930874624
конференция,1.2208580642235005
приводить,1.2208388809642134
оплата,1.2190123212767112
медведь,1.2173929569129203
особый,1.216812781087442
версия,1.2147590384714892
имя,1.2114929825608216
основа,1.2095182643740887
проживать,1.2091563117342221
степанов,1.2083737592475627
мастеркласс,1.2050532576828297
тусур,1.203808376716913
отрасль,1.2036305758829071
специальный,1.202430689277755
совкомбанк,1.1972240180995264
приступать,1.192943630493956
затруднять,1.1915745065408494
безопасный,1.1904145679900933
эксплуатация,1.1877812651929538
культурный,1.1861242701866892
корпус,1.1844147553295998
приходиться,1.1840284892337425
официальный,1.184000136540184
возраст,1.1838179563877944
необходимо,1.1804362843857883
процесс,1.1796167325365579
сквер,1.179237511677398
подниматься,1.1785458387493444
инженерный,1.1779553278119599
выявлять,1.173279456552861
готовый,1.173110110829058
выход,1.1723314422911892
опубликовывать,1.1710758485223904
поставлять,1.1702910075226125
саха,1.1695935631295948
кировский,1.1683304146462674
слушание,1.1669524626782277
именно,1.1648865184161408
касаться,1.1623567694224908
благотворительный,1.1605968262895887
административный,1.1596141329967327
инвалидность,1.1581996347406456
ия,1.1576890267453357
полностью,1.156081939801444
прямой,1.1546367456683937
нужный,1.1534397001507004
поздно,1.1527903898954421
отопление,1.1518929166527911
москва,1.150227085972157
финансирование,1.1490523567176045
стрежевой,1.1484012490480806
мало,1.1468297109004062
оцениваться,1.1462933496019527
весна,1.1440084698113526
многий,1.1435010287115697
республика,1.1432092386360801
река,1.1422131478378206
важный,1.1412888622323973
закон,1.1375608488775193
вносить,1.1362538790438628
эфир,1.1350652627672104
путр,1.1344105861536433
привлекать,1.1306551910740519
расход,1.130484037947779
тнк,1.1298176716776904
сегодняшний,1.1296819953300195
академический,1.1287471510719527
видимость,1.1271951485883176
север,1.1267247772395543
занятие,1.1256487100302368
реабилитация,1.1245300172789257
посещать,1.1235663287510558
платформа,1.1211471208484054
установка,1.1172451727201547
июнь,1.1171543909133892
врач,1.1151183092697277
обеспечивать,1.113013539551801
совместно,1.1123829826569989
регистрация,1.110225248571979
искусство,1.1097689810770286
мтк,1.1084240287298963
грант,1.1055986813427476
гололедный,1.1050123149546287
волонтер,1.1038900584164637
удаваться,1.1037604236865508
военный,1.1035871588051882
победитель,1.1032567346424402
смесь,1.10286802194941
продукт,1.1022716698734065
номер,1.1021356451313407
земля,1.102086833239939
рождение,1.1012321134662089
нападение,1.1004828713580728
аналитик,1.0997818538945525
деревня,1.0996941206753688
обстоятельство,1.0988613143860957
медаль,1.0983744258852706
знак,1.0960421169537589
знать,1.095243347941316
категория,1.0934848464614166
факт,1.0909342887320044
определять,1.0890746706692782
сбер,1.088019093812921
аукцион,1.085922495478978
использовать,1.0841066121500567
свыше,1.0823768059094496
ответ,1.0821885572024512
рождественский,1.0808354815658803
ленинский,1.0796199964394122
спортивный,1.0794820402916974
отметка,1.0779404086336746
машина,1.0768751670498322
кредит,1.075005317963787
нко,1.0747449124716542
совет,1.0729468318549995
снижаться,1.0720769049691976
увеличиваться,1.0716764452085534
сантиметр,1.0706264067465434
хрустальный,1.070444469146972
выбирать,1.0687888573463438
размещать,1.0676464489617508
собственный,1.0670341866354995
гектар,1.0669998883397387
ежегодно,1.0666469766988047
зарегистрировать,1.0657573743500706
снежный,1.0628186443919883
рассматривать,1.0624633852856011
освещение,1.0586298007379134
требоваться,1.057523408743022
травма,1.0545273190126283
черный,1.0543136846331578
пойти,1.0540854748263848
точка,1.052286012264633
состав,1.052071678285445
середина,1.051504939655696
восемь,1.051247190642099
хотеть,1.0508016962730555
иностранный,1.0506655252282935
признавать,1.047445143566266
зарабатывать,1.0469201441224443
китай,1.0458411283843403
квадратный,1.045735449685387
максимальный,1.0456868767085032
западный,1.044979877828639
ред,1.0449458660526254
ярмарка,1.0449412298241094
осень,1.044617846547141
должность,1.0430337166898693
облдума,1.0428127910257219
требование,1.042724748501755
свободный,1.0423041187662152
ухудшение,1.0379979797900956
бывший,1.0376134534048767
сеченов,1.0370594141390945
